timestamp,carotenoid_index
2026-03-01 08:00:00,0.80
2026-03-02 08:00:00,0.82
2026-03-03 08:00:00,0.84
2026-03-04 08:00:00,0.86
2026-03-05 08:00:00,0.88
2026-03-06 08:00:00,0.90
2026-03-07 08:00:00,0.89
2026-03-08 08:00:00,0.92
2026-03-09 08:00:00,0.94
2026-03-10 08:00:00,0.96
2026-03-11 08:00:00,0.98
2026-03-12 08:00:00,1.00
2026-03-13 08:00:00,0.99
2026-03-14 08:00:00,1.02
2026-03-15 08:00:00,1.04
2026-03-16 08:00:00,1.06
2026-03-17 08:00:00,1.08
2026-03-18 08:00:00,1.10
2026-03-19 08:00:00,1.09
2026-03-20 08:00:00,1.12
2026-03-21 08:00:00,1.14
2026-03-22 08:00:00,1.16
2026-03-23 08:00:00,1.18
2026-03-24 08:00:00,1.20
2026-03-25 08:00:00,1.19
2026-03-26 08:00:00,1.22
2026-03-27 08:00:00,1.24
2026-03-28 08:00:00,1.26
2026-03-29 08:00:00,1.28
2026-03-30 08:00:00,1.30
