timestamp,stress_score
2026-03-01 08:00:00,35
2026-03-02 08:00:00,38
2026-03-03 08:00:00,42
2026-03-04 08:00:00,45
2026-03-05 08:00:00,48
2026-03-06 08:00:00,50
2026-03-07 08:00:00,40
2026-03-08 08:00:00,52
2026-03-09 08:00:00,55
2026-03-10 08:00:00,58
2026-03-11 08:00:00,60
2026-03-12 08:00:00,62
2026-03-13 08:00:00,50
2026-03-14 08:00:00,65
2026-03-15 08:00:00,68
2026-03-16 08:00:00,70
2026-03-17 08:00:00,72
2026-03-18 08:00:00,75
2026-03-19 08:00:00,60
2026-03-20 08:00:00,78
2026-03-21 08:00:00,80
2026-03-22 08:00:00,82
2026-03-23 08:00:00,85
2026-03-24 08:00:00,88
2026-03-25 08:00:00,70
2026-03-26 08:00:00,90
2026-03-27 08:00:00,92
2026-03-28 08:00:00,95
2026-03-29 08:00:00,97
2026-03-30 08:00:00,100
